SampleID,Discussion
11,seems better than most of the crap that I hear
12,"If you don't believe in yourself, how can anyone else believe in you.  If you don't have the support of those around you who don't believe it you, then you have to find it in yourself and realize you want something so bad that you will achieve it.  As hard as the road can be, if you don't keep trying, you are just going to prove all those other people that they were right.  Set your mind to it and try and your chances of achieving what you want will be pretty high!\n\nI'll beleive in you!"
13,"The Enola Gay is at the Smithsonian Institute.  It is the most photographed airplane ever.  Do some YAHOO! searches to discover the value of your ""hidden camera"" photos.  Be prepared to document proof that your grandfather served at the base where the photos were taken (DD214 duty assignments, pay slips, etc.).  Sworn testimonials, documentations and so forth.  You cannot determine the value of anything without doing research, then the value is determined by what someone is willing to pay and what someone is willing to accept.  Another source of internet research is AUCTION HOUSES.  Otherwise, anyone who blindly gives you an ""educated guess"" as a quick answer for 2 points needs educating himself.  Good research is your answer."
14,"US consumer prices inched up just 0.1 percent last month as gasoline and car prices tumbled, the government said on Thursday in a report suggesting an inflation spike earlier this year was an aberration."
15,"No! They are going through a rough stretch right now but they are still only 2 games below .500\nOnce the hitter get hot, (they are due!) the pitching will settle down and I think the Giants will win between 80-88 games this year. Possibly enough to win the NL West!"
16,War decisions are based on Control ... and so are peaceful decisions.  It is a calculation of whether or not a person will be more in control through war.
17,"well, my friend TOLD me that him and his dad made one, with a tail and a nose and everything. he said that they used water to bend the wood, but he also said that it didn't turn out that good. so if you do make one, it might not turn out the way you want it to."
18,"Roosevelt was a lot younger, not even 50 when he left office.  Dubya seems in pretty good shape."
19,"I think you can't. There are two reasons for that.\n1.) Yahoo does not necessarily show the yahoo id of the person asking or answering question. You can create an alias or a nick name.\n2.) You can not search on the basis of person's name. There is no options in the advanced search also.\n\nI personally feel that this setting is right. If I am asking questions, why should I be known to people.\n\nHope it helps."
20,&lt;strong&gt;IDF Fall '04&lt;/strong&gt; Malhotra rejoins St. Fister
21,death penalty for sure. should be done in the middle of Baghdad so that his victims and victims families can watch.
22,Five bucks
23,"1492\nâ€¢ Christopher Columbus lands in the New World.\n\n1497\nâ€¢ John Cabot reaches North America.\n\n1499\nâ€¢ Amerigo Vespucci explores South America. \n\n1502\nâ€¢ First African slaves come to Spanish America. \n\n1504 \nâ€¢ Hernando Cortez comes to the New World. \n\n1513\nâ€¢ Ponce de LeÃ³n explores and names Florida. \nâ€¢ Vasco NÃºÃ±ez de Balboa ""Discovers"" the Pacific Ocean. \n\n1521\nâ€¢ Spanish explorer Hernando Cortez conquers the Aztecs of Mexico. \n\n1524\nâ€¢ Giovanni da Verrazano explores the North American coast. \n\n1539 \nâ€¢ Hernando de Soto explores southeastern North America. \n\n1540 \nâ€¢ Francisco Coronado Explores the Southwest in search of gold, leading a three thousandâ€“mile expedition.\n\nc.1555 \nâ€¢ Tobacco is brought to Europe. \n\n1564 \nâ€¢ French Huguenots attempt to settle at Port Royal, South Carolina, and then at Fort Caroline in northern Florida. \n\n1565 \nâ€¢ The Spanish attack the French in Florida and settle St. Augustine. \n\n1570 \nâ€¢ Dekanawida and Hiawatha establish the Iroquois Confederacy. \n\n1579 \nâ€¢ Sir Francis Drake lands on the coast of California, where he is greeted by friendly Miwok Indians. \n\n1584 \nâ€¢ Sir Walter Raleigh receives a charter from Elizabeth I. \n\n1585 \nâ€¢ John White paints scenes of Native American life in Virginia. (See also the Indians of Virginia and Indian Fishing Methods.) \nâ€¢ Raleigh's expedition establishes Roanoke Colony in what is now North Carolina. \n\n1587 \nâ€¢ Virginia Dare is the first European born in North America at the Roanoke Colony. \n\n1598 \nâ€¢ Juan de Onate arrives in the Southwest and establishes the colony of New Mexico, declaring all natives subjects of the Spanish monarch. The Indians of Acoma Pueblo rebel unsuccessfully, and after their defeat they are punished brutally by the Spanish. \n\n1607 \nâ€¢ Captain John Smith establishes an English colony at Jamestown, Virginia. \n\n1608 \nâ€¢ Samuel de Champlain establishes a fur trading post at Quebec. \n\n1609 \nâ€¢ Henry Hudson discovers the Hudson River while on a voyage for the Dutch West India Company. \nâ€¢ The Spanish establish Santa Fe, New Mexico. \n\n1614 \nâ€¢ Pocahontas, the daughter of Chief Powhatan, marries John Rolfe, Jamestown's first tobacco farmer. \n\n1619 \nâ€¢ A Dutch ship with an English captain brings the first slaves to the Jamestown colony. (See also Africans Arrive at Jamestown.) \nâ€¢ The House of Burgesses, the first legislative assembly in North America, convenes in Virginia. \n\n1620 \nâ€¢ The Mayflower lands at Plymouth; two Indians, Squanto and Samoset, help the Pilgrims, led by Myles Standish, survive in the wilderness. \nâ€¢ The Mayflower Compact is signed in Cape Cod Harbor. \n\n1622 \nâ€¢ Pamunkey chief Opechancanough, brother of Powhatan, leads a massacre of 350 settlers in Virginia. \n\n1624 \nâ€¢ The Dutch build Fort Orange at Albany, New York. \n\n1625 \nâ€¢ The Dutch establish New Amsterdam on Manhattan island. \n\n1626 \nâ€¢ Peter Minuit buys Manhattan island from the Indians. \nâ€¢ Black slaves arrive in New Amsterdam and are later exported to Connecticut (1629), Maryland (1634), and Massachusetts (1638). \n\n1628 \nâ€¢ Plymouth Colony's Myles Standish breaks up Thomas Morton's Merrymount settlement near Quincy, Massachusetts. \nâ€¢ Salem, Massachusetts, is founded by John Endecott and settlers of the Massachusetts Bay Company. \n\n1629 \nâ€¢ The Spanish establish the first mission in Zuni territory, at Hawikuh. \nâ€¢ The Dutch institute the patroon system of land grants in the Hudson River Valley. \nâ€¢ John Endecott becomes governor of the newly established Puritan colony in Massachusetts. \n\n1630 \nâ€¢ Boston (the Massachusetts Bay Colony) is founded by John Winthrop and approximately nine hundred Puritans. \nâ€¢ John Winthrop succeeds John Endecott as governor of the Massachusetts Bay Colony. \n\n1632 \nâ€¢ Maryland Is Founded by colonists under a charter granted to Lord Baltimore. \n\n1634 \n"
24,"Andreea Banica, din nou goala \nUna din cele mai sexy cantarete de la noi, Andreea Banica (Blondy) este, se pare, foarte constienta frumusetea sa. Interpreta a marturisit, intr-un interviu acordat revistei ""High Life"", ca e mandra de sanii si de fundul ei."
25,http://en.wikipedia.org/wiki/Kuwait_national_football_team
26,"NISQUALLY NATIONAL WILDLIFE REFUGE, Wash. - A 15-year plan would restore salt marshes and mudflats for migrating salmon at the Nisqually National Wildlife Refuge, more than 100 years after the farmland was drained and diked."
27,"Jacksonville, FL (Sports Network) - Jacksonville Jaguars quarterback Byron Leftwich participated in practice Wednesday and is expected to start this week against the Minnesota Vikings."
28,"if wisdoms ways you wisely seek five things observe with care, to whom you speak, of whom you speak, how when and where.....life is not about the number of breaths you take but the moments that take your breath away.....do your best at all is all you can do."
29,"Izzie, Izzie, Izzie. Don't leave. Seattle Grace is just not the same without you. What would I do without you? -Dr. Alex Karev"
30,"In Acrobat, choose ""save file as,"" click on the drop down menu next to the file type and scroll down the list to .jpg, highlight it and click save. This will only work if you have the full version of Acrobat (not just the reader)."
31,no war craft is a very bad game
32,HERE is you answer......\nOn a rainy day and a muddy field........\nNorth Catholic - 23   Frankfort - 14.\nhttp://www.keepmedia.com/pubs/PhiladelphiaInquirer/2006/11/24/2116786
33,"Different time, different culture.  Leonardo had patrons.  They would tell him what they wanted done, and he would do it for them.  On the side, he did his other stuff, but most of it was done for money, as he wouldn't have survived otherwise."
34,"well, you can call the better business bureau and file a complaint or the fbi and file a fraud complaint.  unfortounatly,  unless fraud can be proven and you can find others who got screwed over it will most likely be concidered a civil matter and would cost you more to sue then it would to eat the loss."
35,i think no one can do that for you..sorry.
36,"Yea agreed, verizon sucks.\n\nGet cable. DSL sucks too."
37,Nintendo does not cross-platform their games. Stop asking these questions.
38,"The House Thursday passed a bill that would criminalize the use of spyware to commit fraud or other crimes, adding an additional two to five years to federal sentences."
39,It's LORD OF THE FLIES. the book is by William Golding. I never saw the movie but the premise is unmistakeable. suggests that without strict hand of a law or society( that military man)  we all fall into chaos and start worshipping pig heads on sticks and throw boulders at each other.
40, NEW YORK (Reuters) - Pharmacy chain CVS Corp. on Thursday  said it would offer the world's first disposable digital camera  with a bright color viewing screen that allows consumers to  instantly preview pictures.
41,"I have a feeling that the Khali is going to win. Khali is huge and strong. One blow from the Khali took down the Undertaker. Plus, Taker cannot tombstone or chokeslam him"
42,"C'est mignon la vidÃ©o, mais on ne pourra que la mettre dans des divisions oÃ¹ il y aura du fric, pas chez les amateurs...\ndonc l'argument de la vidÃ©o, c'est un argument pour lÃ©gitimer le systÃ¨me actuel, complÃ¨tement pourri par le pognon...\nAprÃ¨s comme toi, je trouve cela dÃ©solant que certains joueurs doivent en arriver Ã  lÃ , la seule chose que je vois, c'est que les arbitres aient un meilleur niveau, donc une meilleure formation...\np'tet ajouter un 2eme arbitre de champ pourrait Ãªtre pas mal...\n\nPS : Celui qui pense qu'il n'y a que les Italiens qui plongent, qu'il regarde jouer plus souvent Malouda, ou qu'il regarde plus le foot en gÃ©nÃ©ral, et on pourra en reparler ensuite du fait que seuls les ritals plongent..."
43,"NEW YORK Another rise in oil prices is putting some pressure on stocks, which are mixed. The Dow Jones industrial average is down 12 points at ten-thousand-165."
